,Unnamed: 0,textOriginal,authorDisplayName,Prabowo,Ganjar,Anies,preprocessed
0,0.0,"Semua cara yang digunakan oleh Simpatisan Ganjar untuk menjatuhkan Prabowo dengan mengaitkan dengan ormas radikal yakni berusaha membentuk opini masyarakat agar rakyat pilih Ganjar dan Mahmud. Sudah saatnya orang mudah yang berprestasi dan cerdas pimpin bangsa Indonesia. Prabowo tetap Presiden. Semua Presiden dari Soekarno sampai Jokowi adalah Dinasti keluarga, dinasti suku, Dinasti kekuasaan. Jadi semua warga negara punya hak untuk menjadi pemimpin. NKRI kekuasaan ada ditangan rakyat bukan di Presiden. Jadi Gibran biar mudapun bisa pimpin ada rakyat yang kontrol kinerja melalui DPRI. Kaum muda maju terus. Jangan menciptakan opini publik untuk memenangkan Ganjar, dan menjelekan Jokowi dan menjatuhkan Prabowo dan Gibran. PDIP masanya sudah selesai. Bangsa ini bukan punya satu Partai saja. Jadi sudah  saatnya calon dari partai lainpun punya hak untuk bisa jadi pemimpin negara.",Mathias Letsoin,positif,negatif,,simpatisan ganjar jatuh prabowo kait ormas radikal usaha bentuk opini masyarakat rakyat pilih ganjar mahmud orang mudah prestasi cerdas pimpin bangsa indonesia prabowo presiden presiden soekarno jokowi dinasti keluarga dinasti suku dinasti kuasa warga negara hak pimpin nkri kuasa tang rakyat presiden gibran biar muda pimpin rakyat kontrol kerja dpri kaum muda maju cipta opini publik menang ganjar jelek jokowi jatuh prabowo gibran pdip masa selesai bangsa partai calon partai lain hak pimpin negara
1,1.0,ganjar ngomong apa si....,asa,,negatif,,ganjar omong sih
2,2.0,"Pak Prabowo Subianto bukan hanya kata tapi bukti nyata walopun tidak semua perkataannya tidak tersampaikan, jateng tetap Prabowo Subianto presiden 👍🙌",Ihsan Maulana,positif,,,prabowo prabowo bukti nyata walopun kata jateng prabowo prabowo presiden jempol ke atas angkat tangan
3,4.0,"6:20:25 MOMEN REFLEKSI Bp. Prabowo, jujur awalnya saya melihat seperti candaan,  dan menunjukkan sikap sebenarnya pak Prabowo yang ""tidak bisa disetir sesuka hati"" 

 saya berkaca kaca dan haru mendengarnya... Apapun sanggahnya, Refleksi Pak Prabowo, sangatlah tulus, jujur dr dalam hati, dan menyimpan kekuatan dan cita2 besar dalam kata2nya...

Benar dawuh, Alm. Gus Dur, Prabowo orang yg paling Ikhlas buat negara ini...",Puput Ansory,positif,,,momen refleksi bp prabowo jujur canda sikap prabowo setir suka hati kaca kaca dengar apa sanggah refleksi prabowo tulus jujur hati simpan kuat citacita katakatanya dawuh almarhum gus dur prabowo orang ikhlas negara
4,5.0,Pak Ganjar dan Pak Probowo lebih memiliki ide dan gagasan yang realitas dibandingkan calon satunya lagi.. keputusan ada ditangan kalian..,Three S Official,positif,positif,,ganjar probowo milik ide gagas realitas banding calon satu putus tang
5,6.0,"Jawaban dari lawan nyata dinastinya Presiden Jokowi adalah Anis Baswedan,.
Karena saya menganalisa Prabowo ataupun Ganjar Pranowo tetap Presiden Jokowi akan ikut andil di dalamnya kecuali Anis Baswedan...",Wir Dan,negatif,negatif,positif,lawan nyata dinasti presiden jokowi anies anies menganalisa prabowo ganjar ganjar presiden jokowi andil dalam kecuali anies anies
6,7.0,Masya Allah makin cinta sama pak Anis😍🇲🇨,Bilik tuang by TUTI SOFIE,,,positif,masya allah cinta anies wajah senyum lebar mata hati bendera monako
7,8.0,"Anies lah Yg paling bagus dalam menyelesaikan permalasahan yg diajukan,
Kalau ganjar hanya cerita kosong tidak menjawab apa point yg ditanyakan, dari sini kita tau mana yg harus kita pilih",ASMAR AWI,,negatif,positif,anies bagus selesai permalasahan aju ganjar cerita kosong point tau pilih
8,9.0,saya sekeluarga dukung pak anis👍,dakwah  ahlulsunah,,,positif,keluarga dukung anies jempol ke atas
9,11.0,Pak ganjar paling❤❤❤❤❤,historyHD,,positif,,ganjar paling
10,12.0,Semakin yakin pilih Ganjar-Mahfud 💪🏼,Hugo Avianto,,positif,,pilih ganjarmahfud lengan otot warna kulit cerahsedang
